Ship_Mode,Segment,Country,City,State,Postal_Code,Region,Category,Sub_Category,Sales,Quantity,Discount,Profit,Fecha_Estimada,Anio,Mes,Margen_Profit,Venta_Promedio_Unidad,Rango_Descuento
Standard Class,Home Office,United States,Rochester,New York,14609,East,Office Supplies,Binders,33.376,4,0.2,10.43,2014-10-28,2014,10,0.3125,8.344,1%-20%
First Class,Home Office,United States,New York City,New York,10011,East,Office Supplies,Appliances,207.48,1,0.0,62.244,2014-10-28,2014,10,0.3,207.48,0%
Standard Class,Home Office,United States,Eau Claire,Wisconsin,54703,Central,Office Supplies,Binders,91.68,3,0.0,45.84,2014-10-28,2014,10,0.5,30.560000000000002,0%
First Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Appliances,904.9,5,0.0,253.372,2014-10-28,2014,10,0.28,180.98,0%
Standard Class,Consumer,United States,Rancho Cucamonga,California,91730,West,Office Supplies,Binders,34.272,3,0.2,11.1384,2014-10-28,2014,10,0.325,11.424,1%-20%
First Class,Consumer,United States,Murray,Kentucky,42071,South,Furniture,Furnishings,191.82,3,0.0,74.8098,2014-10-28,2014,10,0.39,63.94,0%
Standard Class,Corporate,United States,Toledo,Ohio,43615,East,Office Supplies,Appliances,243.88,5,0.2,27.4365,2014-10-28,2014,10,0.1125,48.775999999999996,1%-20%
Standard Class,Home Office,United States,Louisville,Colorado,80027,West,Office Supplies,Binders,12.03,5,0.7,-9.223,2014-10-28,2014,10,-0.7666666666666667,2.4059999999999997,61%-80%
Standard Class,Home Office,United States,Louisville,Colorado,80027,West,Technology,Machines,2549.985,5,0.7,-3399.98,2014-10-29,2014,10,-1.3333333333333333,509.997,61%-80%
Standard Class,Home Office,United States,Louisville,Colorado,80027,West,Office Supplies,Binders,21.594,2,0.7,-15.8356,2014-10-29,2014,10,-0.7333333333333333,10.797,61%-80%
Standard Class,Home Office,United States,Louisville,Colorado,80027,West,Office Supplies,Binders,8.964,6,0.7,-6.5736,2014-10-29,2014,10,-0.7333333333333333,1.494,61%-80%
Standard Class,Home Office,United States,Louisville,Colorado,80027,West,Office Supplies,Paper,20.736,4,0.2,7.2576,2014-10-29,2014,10,0.35,5.184,1%-20%
Standard Class,Home Office,United States,New York City,New York,10035,East,Furniture,Tables,344.22,2,0.4,-103.266,2014-10-29,2014,10,-0.3,172.11,21%-40%
Standard Class,Home Office,United States,Pharr,Texas,78577,Central,Office Supplies,Storage,727.296,8,0.2,-172.7328,2014-10-29,2014,10,-0.2375,90.912,1%-20%
Standard Class,Home Office,United States,Pharr,Texas,78577,Central,Furniture,Furnishings,22.608,3,0.6,-10.1736,2014-10-29,2014,10,-0.45,7.5360000000000005,41%-60%
Standard Class,Home Office,United States,Pharr,Texas,78577,Central,Technology,Accessories,666.4,7,0.2,-33.32,2014-10-29,2014,10,-0.05,95.2,1%-20%
Standard Class,Consumer,United States,West Jordan,Utah,84084,West,Office Supplies,Fasteners,5.04,3,0.0,0.2016,2014-10-29,2014,10,0.04,1.68,0%
Standard Class,Consumer,United States,West Jordan,Utah,84084,West,Office Supplies,Paper,92.94,3,0.0,41.823,2014-10-29,2014,10,0.45,30.98,0%
Standard Class,Consumer,United States,West Jordan,Utah,84084,West,Furniture,Furnishings,66.69,3,0.0,22.0077,2014-10-30,2014,10,0.33,22.23,0%
Standard Class,Consumer,United States,West Jordan,Utah,84084,West,Office Supplies,Binders,91.68,5,0.2,28.65,2014-10-30,2014,10,0.31249999999999994,18.336000000000002,1%-20%
Standard Class,Consumer,United States,Brownsville,Texas,78521,Central,Furniture,Bookcases,327.7328,2,0.32,-14.4588,2014-10-30,2014,10,-0.04411764705882353,163.8664,21%-40%
Standard Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Binders,52.272,11,0.2,17.6418,2014-10-30,2014,10,0.3375,4.752,1%-20%
Standard Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Paper,17.94,3,0.0,8.073,2014-10-30,2014,10,0.45,5.98,0%
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,254.352,3,0.2,0.0,2014-10-30,2014,10,0.0,84.784,1%-20%
Same Day,Corporate,United States,Billings,Montana,59102,West,Office Supplies,Binders,8.288,2,0.2,2.6936,2014-10-30,2014,10,0.325,4.144,1%-20%
Standard Class,Consumer,United States,Chesapeake,Virginia,23320,South,Furniture,Chairs,504.9,5,0.0,80.784,2014-10-30,2014,10,0.16000000000000003,100.97999999999999,0%
Standard Class,Corporate,United States,Gresham,Oregon,97030,West,Technology,Phones,403.168,4,0.2,25.198,2014-10-30,2014,10,0.0625,100.792,1%-20%
Standard Class,Corporate,United States,Lincoln Park,Michigan,48146,Central,Furniture,Bookcases,194.32,4,0.0,31.0912,2014-10-30,2014,10,0.16,48.58,0%
Standard Class,Corporate,United States,Lincoln Park,Michigan,48146,Central,Office Supplies,Art,25.99,1,0.0,7.5371,2014-10-31,2014,10,0.29,25.99,0%
Standard Class,Consumer,United States,Gresham,Oregon,97030,West,Furniture,Chairs,195.136,4,0.2,-12.196,2014-10-31,2014,10,-0.0625,48.784,1%-20%
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19143,East,Office Supplies,Paper,20.736,4,0.2,7.2576,2014-10-31,2014,10,0.35,5.184,1%-20%
Standard Class,Consumer,United States,Monroe,Louisiana,71203,South,Technology,Accessories,53.7,6,0.0,10.203,2014-10-31,2014,10,0.18999999999999997,8.950000000000001,0%
Standard Class,Consumer,United States,Monroe,Louisiana,71203,South,Office Supplies,Binders,36.26,7,0.0,16.6796,2014-10-31,2014,10,0.46,5.18,0%
Standard Class,Consumer,United States,Monroe,Louisiana,71203,South,Office Supplies,Art,56.3,2,0.0,15.764,2014-10-31,2014,10,0.28,28.15,0%
Standard Class,Consumer,United States,Monroe,Louisiana,71203,South,Office Supplies,Paper,32.4,5,0.0,15.552,2014-10-31,2014,10,0.48,6.4799999999999995,0%
Standard Class,Consumer,United States,Monroe,Louisiana,71203,South,Furniture,Furnishings,29.16,2,0.0,10.7892,2014-10-31,2014,10,0.37,14.58,0%
Standard Class,Corporate,United States,Pasadena,California,91104,West,Furniture,Tables,171.288,3,0.2,-6.4233,2014-10-31,2014,10,-0.0375,57.096000000000004,1%-20%
Standard Class,Consumer,United States,Chattanooga,Tennessee,37421,South,Furniture,Furnishings,16.72,5,0.2,3.344,2014-10-31,2014,10,0.2,3.344,1%-20%
Same Day,Home Office,United States,Long Beach,California,90805,West,Office Supplies,Paper,12.96,2,0.0,6.2208,2014-11-01,2014,11,0.4799999999999999,6.48,0%
Same Day,Home Office,United States,Long Beach,California,90805,West,Office Supplies,Envelopes,22.18,2,0.0,10.8682,2014-11-01,2014,11,0.49,11.09,0%
Same Day,Home Office,United States,Long Beach,California,90805,West,Furniture,Chairs,2054.272,8,0.2,256.784,2014-11-01,2014,11,0.125,256.784,1%-20%
Second Class,Consumer,United States,Troy,Ohio,45373,East,Technology,Phones,1022.97,5,0.4,-255.7425,2014-11-01,2014,11,-0.25,204.594,21%-40%
Second Class,Home Office,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Art,13.9,5,0.0,3.614,2014-11-01,2014,11,0.26,2.7800000000000002,0%
Second Class,Home Office,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Paper,26.38,1,0.0,12.1348,2014-11-01,2014,11,0.46,26.38,0%
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Binders,43.176,7,0.2,13.4925,2014-11-01,2014,11,0.3125,6.168,1%-20%
First Class,Home Office,United States,Columbus,Georgia,31907,South,Furniture,Tables,411.8,2,0.0,70.006,2014-11-01,2014,11,0.16999999999999998,205.9,0%
First Class,Home Office,United States,Columbus,Georgia,31907,South,Technology,Accessories,360.0,4,0.0,129.6,2014-11-01,2014,11,0.36,90.0,0%
Standard Class,Home Office,United States,Meridian,Idaho,83642,West,Furniture,Furnishings,41.96,2,0.0,2.9372,2014-11-01,2014,11,0.06999999999999999,20.98,0%
Standard Class,Home Office,United States,Meridian,Idaho,83642,West,Office Supplies,Appliances,227.84,4,0.0,66.0736,2014-11-02,2014,11,0.29,56.96,0%
Standard Class,Home Office,United States,Meridian,Idaho,83642,West,Office Supplies,Paper,37.94,2,0.0,18.2112,2014-11-02,2014,11,0.4800000000000001,18.97,0%
Second Class,Home Office,United States,Detroit,Michigan,48227,Central,Technology,Phones,517.9,2,0.0,134.654,2014-11-02,2014,11,0.26,258.95,0%
Second Class,Home Office,United States,Detroit,Michigan,48227,Central,Office Supplies,Binders,5.28,2,0.0,2.4288,2014-11-02,2014,11,0.45999999999999996,2.64,0%
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Technology,Copiers,2799.96,5,0.2,874.9875,2014-11-02,2014,11,0.3125,559.992,1%-20%
Second Class,Corporate,United States,San Francisco,California,94110,West,Office Supplies,Envelopes,8.96,2,0.0,4.3008,2014-11-02,2014,11,0.4799999999999999,4.48,0%
Second Class,Corporate,United States,San Francisco,California,94110,West,Office Supplies,Labels,31.5,10,0.0,15.12,2014-11-02,2014,11,0.48,3.15,0%
Second Class,Corporate,United States,San Francisco,California,94110,West,Furniture,Furnishings,30.56,2,0.0,10.3904,2014-11-02,2014,11,0.34,15.28,0%
Second Class,Corporate,United States,San Francisco,California,94110,West,Furniture,Tables,24.368,2,0.2,-3.3506,2014-11-02,2014,11,-0.1375,12.184,1%-20%
Standard Class,Corporate,United States,Newark,Ohio,43055,East,Technology,Accessories,119.976,3,0.2,22.4955,2014-11-02,2014,11,0.1875,39.992,1%-20%
Standard Class,Consumer,United States,Dallas,Texas,75081,Central,Office Supplies,Paper,26.88,8,0.2,9.744,2014-11-03,2014,11,0.3625,3.36,1%-20%
First Class,Corporate,United States,Newark,Delaware,19711,East,Technology,Phones,83.97,3,0.0,23.5116,2014-11-03,2014,11,0.28,27.99,0%
First Class,Corporate,United States,Newark,Delaware,19711,East,Technology,Accessories,104.97,3,0.0,7.3479,2014-11-03,2014,11,0.07,34.99,0%
Second Class,Home Office,United States,Albuquerque,New Mexico,87105,West,Office Supplies,Storage,90.8,8,0.0,25.424,2014-11-03,2014,11,0.28,11.35,0%
Second Class,Home Office,United States,Albuquerque,New Mexico,87105,West,Technology,Phones,140.736,8,0.2,49.2576,2014-11-03,2014,11,0.35,17.592,1%-20%
Second Class,Home Office,United States,Albuquerque,New Mexico,87105,West,Technology,Accessories,214.95,5,0.0,88.1295,2014-11-03,2014,11,0.41,42.989999999999995,0%
Second Class,Home Office,United States,Albuquerque,New Mexico,87105,West,Office Supplies,Paper,45.36,7,0.0,21.7728,2014-11-03,2014,11,0.48,6.4799999999999995,0%
Second Class,Home Office,United States,Albuquerque,New Mexico,87105,West,Office Supplies,Paper,288.24,6,0.0,138.3552,2014-11-03,2014,11,0.48,48.04,0%
Same Day,Home Office,United States,Toledo,Ohio,43615,East,Office Supplies,Appliances,663.936,4,0.2,82.992,2014-11-03,2014,11,0.125,165.984,1%-20%
Standard Class,Corporate,United States,Newark,Delaware,19711,East,Office Supplies,Storage,2934.33,7,0.0,792.2691,2014-11-03,2014,11,0.27,419.19,0%
Standard Class,Corporate,United States,Newark,Delaware,19711,East,Furniture,Furnishings,124.41,3,0.0,14.9292,2014-11-04,2014,11,0.12,41.47,0%
Standard Class,Corporate,United States,Newark,Delaware,19711,East,Office Supplies,Art,57.75,5,0.0,26.565,2014-11-04,2014,11,0.46,11.55,0%
First Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Storage,114.46,2,0.0,28.615,2014-11-04,2014,11,0.25,57.23,0%
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Bookcases,120.666,2,0.15,18.4548,2014-11-04,2014,11,0.15294117647058822,60.333,1%-20%
Standard Class,Home Office,United States,Dallas,Texas,75217,Central,Office Supplies,Storage,342.864,3,0.2,38.5722,2014-11-04,2014,11,0.11250000000000002,114.288,1%-20%
Standard Class,Home Office,United States,Dallas,Texas,75217,Central,Furniture,Furnishings,16.74,5,0.6,-14.229,2014-11-04,2014,11,-0.85,3.348,41%-60%
Standard Class,Home Office,United States,Dallas,Texas,75217,Central,Furniture,Chairs,981.372,2,0.3,-140.196,2014-11-04,2014,11,-0.14285714285714285,490.686,21%-40%
Standard Class,Home Office,United States,San Diego,California,92037,West,Office Supplies,Art,31.84,8,0.0,10.5072,2014-11-04,2014,11,0.32999999999999996,3.98,0%
First Class,Home Office,United States,Apple Valley,California,92307,West,Office Supplies,Paper,12.96,2,0.0,6.2208,2014-11-04,2014,11,0.4799999999999999,6.48,0%
First Class,Home Office,United States,Apple Valley,California,92307,West,Technology,Phones,43.176,3,0.2,15.1116,2014-11-04,2014,11,0.35,14.392000000000001,1%-20%
Standard Class,Home Office,United States,Louisville,Kentucky,40214,South,Office Supplies,Binders,58.34,2,0.0,28.0032,2014-11-05,2014,11,0.48,29.17,0%
Standard Class,Home Office,United States,Louisville,Kentucky,40214,South,Technology,Phones,539.97,3,0.0,134.9925,2014-11-05,2014,11,0.25,179.99,0%
Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Binders,3.928,1,0.2,1.3257,2014-11-05,2014,11,0.3375,3.928,1%-20%
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Office Supplies,Binders,252.784,4,0.8,-417.0936,2014-11-05,2014,11,-1.65,63.196,61%-80%
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Technology,Accessories,127.984,2,0.2,15.998,2014-11-05,2014,11,0.125,63.992,1%-20%
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,3.984,2,0.6,-2.6892,2014-11-05,2014,11,-0.675,1.992,41%-60%
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Office Supplies,Appliances,12.992,2,0.8,-32.48,2014-11-05,2014,11,-2.4999999999999996,6.496,61%-80%
Second Class,Home Office,United States,Henderson,Kentucky,42420,South,Furniture,Furnishings,61.0,5,0.0,25.62,2014-11-05,2014,11,0.42000000000000004,12.2,0%
Second Class,Home Office,United States,Henderson,Kentucky,42420,South,Technology,Phones,671.93,7,0.0,188.1404,2014-11-05,2014,11,0.28,95.99,0%
Standard Class,Consumer,United States,Newark,Delaware,19711,East,Office Supplies,Binders,447.86,7,0.0,219.4514,2014-11-05,2014,11,0.49,63.980000000000004,0%
Standard Class,Consumer,United States,Newark,Delaware,19711,East,Technology,Phones,479.95,5,0.0,129.5865,2014-11-06,2014,11,0.27,95.99,0%
Standard Class,Consumer,United States,Newark,Delaware,19711,East,Office Supplies,Paper,166.44,3,0.0,79.8912,2014-11-06,2014,11,0.48,55.48,0%
Same Day,Consumer,United States,Bolingbrook,Illinois,60440,Central,Office Supplies,Supplies,31.68,4,0.2,2.772,2014-11-06,2014,11,0.0875,7.92,1%-20%
Same Day,Consumer,United States,Bolingbrook,Illinois,60440,Central,Office Supplies,Paper,10.368,2,0.2,3.6288,2014-11-06,2014,11,0.35,5.184,1%-20%
Same Day,Consumer,United States,Bolingbrook,Illinois,60440,Central,Office Supplies,Fasteners,12.032,8,0.2,2.256,2014-11-06,2014,11,0.18749999999999997,1.504,1%-20%
Same Day,Consumer,United States,Bolingbrook,Illinois,60440,Central,Office Supplies,Appliances,5.768,2,0.8,-13.5548,2014-11-06,2014,11,-2.35,2.884,61%-80%
Standard Class,Corporate,United States,Fort Worth,Texas,76106,Central,Office Supplies,Labels,33.12,4,0.2,11.592,2014-11-06,2014,11,0.35000000000000003,8.28,1%-20%
Standard Class,Corporate,United States,Fort Worth,Texas,76106,Central,Furniture,Bookcases,220.2656,4,0.32,-42.1096,2014-11-06,2014,11,-0.19117647058823528,55.0664,21%-40%
Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Binders,10.776,3,0.2,3.5022,2014-11-06,2014,11,0.325,3.592,1%-20%
Standard Class,Consumer,United States,New York City,New York,10024,East,Furniture,Bookcases,242.352,3,0.2,9.0882,2014-11-06,2014,11,0.0375,80.784,1%-20%
Second Class,Corporate,United States,Providence,Rhode Island,2908,East,Office Supplies,Supplies,695.16,6,0.0,34.758,2014-11-07,2014,11,0.05,115.86,0%
Second Class,Corporate,United States,Providence,Rhode Island,2908,East,Furniture,Bookcases,220.98,1,0.0,50.8254,2014-11-07,2014,11,0.23,220.98,0%
Standard Class,Home Office,United States,Columbus,Ohio,43229,East,Office Supplies,Binders,12.957,7,0.7,-9.5018,2014-11-07,2014,11,-0.7333333333333333,1.8510000000000002,61%-80%
Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Paper,25.68,6,0.0,11.556,2014-11-07,2014,11,0.44999999999999996,4.28,0%
Standard Class,Corporate,United States,Houston,Texas,77070,Central,Office Supplies,Labels,15.712,4,0.2,5.6956,2014-11-07,2014,11,0.3625,3.928,1%-20%
Standard Class,Home Office,United States,Aurora,Illinois,60505,Central,Office Supplies,Storage,298.464,6,0.2,26.1156,2014-11-07,2014,11,0.08750000000000001,49.744,1%-20%
Standard Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Paper,21.93,3,0.0,10.0878,2014-11-07,2014,11,0.45999999999999996,7.31,0%
Standard Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Storage,242.94,3,0.0,4.8588,2014-11-07,2014,11,0.019999999999999997,80.98,0%
Standard Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Paper,7.64,1,0.0,3.7436,2014-11-07,2014,11,0.49,7.64,0%
Standard Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Paper,51.84,8,0.0,25.4016,2014-11-07,2014,11,0.48999999999999994,6.48,0%
Standard Class,Consumer,United States,Springfield,Missouri,65807,Central,Office Supplies,Storage,265.17,1,0.0,47.7306,2014-11-08,2014,11,0.18,265.17,0%
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Technology,Machines,837.6,3,0.2,62.82,2014-11-08,2014,11,0.075,279.2,1%-20%
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Envelopes,135.9,5,0.0,63.873,2014-11-08,2014,11,0.47,27.18,0%
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Paper,34.68,6,0.0,16.9932,2014-11-08,2014,11,0.49000000000000005,5.78,0%
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Furniture,Chairs,532.704,6,0.2,-39.9528,2014-11-08,2014,11,-0.07500000000000001,88.78399999999999,1%-20%
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Appliances,43.1,5,0.0,11.206,2014-11-08,2014,11,0.25999999999999995,8.620000000000001,0%
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Supplies,15.88,4,0.0,0.1588,2014-11-08,2014,11,0.009999999999999998,3.97,0%
First Class,Corporate,United States,Lakeland,Florida,33801,South,Furniture,Chairs,1123.92,5,0.2,-182.637,2014-11-08,2014,11,-0.16249999999999998,224.78400000000002,1%-20%
First Class,Corporate,United States,Lakeland,Florida,33801,South,Technology,Phones,249.584,2,0.2,31.198,2014-11-08,2014,11,0.125,124.792,1%-20%
First Class,Corporate,United States,Lakeland,Florida,33801,South,Furniture,Furnishings,48.672,3,0.2,7.3008,2014-11-08,2014,11,0.15,16.224,1%-20%
First Class,Corporate,United States,Lakeland,Florida,33801,South,Office Supplies,Art,60.768,2,0.2,7.596,2014-11-09,2014,11,0.125,30.384,1%-20%
First Class,Corporate,United States,Lakeland,Florida,33801,South,Office Supplies,Binders,78.6,5,0.7,-62.88,2014-11-09,2014,11,-0.8,15.719999999999999,61%-80%
First Class,Corporate,United States,Lakeland,Florida,33801,South,Office Supplies,Binders,3.768,2,0.7,-3.14,2014-11-09,2014,11,-0.8333333333333334,1.884,61%-80%
First Class,Corporate,United States,Lakeland,Florida,33801,South,Office Supplies,Storage,1036.624,2,0.2,51.8312,2014-11-09,2014,11,0.05,518.312,1%-20%
First Class,Corporate,United States,Lakeland,Florida,33801,South,Office Supplies,Storage,563.808,4,0.2,21.1428,2014-11-09,2014,11,0.037500000000000006,140.952,1%-20%
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Technology,Phones,258.528,2,0.4,-47.3968,2014-11-09,2014,11,-0.18333333333333332,129.264,21%-40%
Standard Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Paper,49.12,4,0.0,23.0864,2014-11-09,2014,11,0.47000000000000003,12.28,0%
First Class,Home Office,United States,Los Angeles,California,90049,West,Furniture,Furnishings,44.46,2,0.0,14.6718,2014-11-09,2014,11,0.32999999999999996,22.23,0%
First Class,Home Office,United States,Los Angeles,California,90049,West,Furniture,Chairs,241.568,2,0.2,18.1176,2014-11-09,2014,11,0.075,120.784,1%-20%
First Class,Home Office,United States,Los Angeles,California,90049,West,Technology,Accessories,395.0,5,0.0,39.5,2014-11-09,2014,11,0.1,79.0,0%
First Class,Home Office,United States,Los Angeles,California,90049,West,Technology,Phones,627.168,4,0.2,70.5564,2014-11-10,2014,11,0.11249999999999999,156.792,1%-20%
First Class,Corporate,United States,Oceanside,New York,11572,East,Furniture,Furnishings,13.28,2,0.0,6.3744,2014-11-10,2014,11,0.48,6.64,0%
First Class,Corporate,United States,Oceanside,New York,11572,East,Office Supplies,Binders,12.672,3,0.2,4.4352,2014-11-10,2014,11,0.35,4.224,1%-20%
Standard Class,Home Office,United States,Dallas,Texas,75081,Central,Office Supplies,Binders,30.56,5,0.8,-45.84,2014-11-10,2014,11,-1.5000000000000002,6.112,61%-80%
Standard Class,Home Office,United States,Dallas,Texas,75081,Central,Office Supplies,Storage,77.952,3,0.2,-15.5904,2014-11-10,2014,11,-0.2,25.983999999999998,1%-20%
Standard Class,Home Office,United States,Dallas,Texas,75081,Central,Technology,Phones,67.992,1,0.2,8.499,2014-11-10,2014,11,0.125,67.992,1%-20%
Standard Class,Home Office,United States,Dallas,Texas,75081,Central,Office Supplies,Envelopes,12.224,2,0.2,4.4312,2014-11-10,2014,11,0.36249999999999993,6.112,1%-20%
Standard Class,Home Office,United States,Dallas,Texas,75081,Central,Technology,Accessories,44.784,2,0.2,-0.5598,2014-11-10,2014,11,-0.012499999999999999,22.392,1%-20%
Standard Class,Home Office,United States,Dallas,Texas,75081,Central,Furniture,Furnishings,22.848,3,0.6,-17.7072,2014-11-10,2014,11,-0.775,7.616,41%-60%
First Class,Consumer,United States,New York City,New York,10035,East,Office Supplies,Appliances,206.43,3,0.0,90.8292,2014-11-10,2014,11,0.44,68.81,0%
Same Day,Corporate,United States,San Antonio,Texas,78207,Central,Office Supplies,Binders,210.392,2,0.8,-336.6272,2014-11-11,2014,11,-1.6,105.196,61%-80%
Second Class,Consumer,United States,Cincinnati,Ohio,45231,East,Technology,Accessories,119.96,5,0.2,35.988,2014-11-11,2014,11,0.3,23.991999999999997,1%-20%
Second Class,Consumer,United States,Cincinnati,Ohio,45231,East,Office Supplies,Art,10.608,6,0.2,0.9282,2014-11-11,2014,11,0.0875,1.768,1%-20%
Standard Class,Corporate,United States,Austin,Texas,78745,Central,Furniture,Chairs,347.802,7,0.3,-24.843,2014-11-11,2014,11,-0.07142857142857142,49.686,21%-40%
Second Class,Corporate,United States,Seattle,Washington,98105,West,Furniture,Chairs,963.136,4,0.2,108.3528,2014-11-11,2014,11,0.1125,240.784,1%-20%
Second Class,Corporate,United States,Seattle,Washington,98105,West,Technology,Phones,88.776,3,0.2,7.7679,2014-11-11,2014,11,0.08750000000000001,29.592,1%-20%
Second Class,Corporate,United States,Los Angeles,California,90004,West,Office Supplies,Art,32.4,5,0.0,10.368,2014-11-11,2014,11,0.32,6.4799999999999995,0%
First Class,Home Office,United States,New York City,New York,10035,East,Office Supplies,Paper,32.4,5,0.0,15.552,2014-11-11,2014,11,0.48,6.4799999999999995,0%
Standard Class,Consumer,United States,Seattle,Washington,98103,West,Office Supplies,Labels,31.05,3,0.0,14.904,2014-11-11,2014,11,0.48,10.35,0%
First Class,Consumer,United States,Newark,Ohio,43055,East,Technology,Accessories,2025.36,6,0.2,607.608,2014-11-11,2014,11,0.3,337.56,1%-20%
First Class,Consumer,United States,Newark,Ohio,43055,East,Technology,Machines,1799.994,2,0.7,-2639.9912,2014-11-12,2014,11,-1.4666666666666668,899.997,61%-80%
First Class,Consumer,United States,Newark,Ohio,43055,East,Technology,Phones,101.988,2,0.4,-16.998,2014-11-12,2014,11,-0.16666666666666669,50.994,21%-40%
First Class,Consumer,United States,Newark,Ohio,43055,East,Furniture,Furnishings,262.864,7,0.2,69.0018,2014-11-12,2014,11,0.2625,37.552,1%-20%
Standard Class,Corporate,United States,Maple Grove,Minnesota,55369,Central,Office Supplies,Binders,735.98,2,0.0,331.191,2014-11-12,2014,11,0.44999999999999996,367.99,0%
Second Class,Home Office,United States,Glendale,Arizona,85301,West,Office Supplies,Paper,93.024,3,0.2,33.7212,2014-11-12,2014,11,0.36250000000000004,31.008,1%-20%
Standard Class,Corporate,United States,New York City,New York,10009,East,Furniture,Tables,284.364,2,0.4,-75.8304,2014-11-12,2014,11,-0.26666666666666666,142.182,21%-40%
Standard Class,Corporate,United States,New York City,New York,10009,East,Technology,Accessories,26.0,2,0.0,11.7,2014-11-12,2014,11,0.44999999999999996,13.0,0%
First Class,Consumer,United States,Jacksonville,North Carolina,28540,South,Office Supplies,Storage,67.64,5,0.2,5.9185,2014-11-12,2014,11,0.0875,13.528,1%-20%
First Class,Consumer,United States,Jacksonville,North Carolina,28540,South,Technology,Accessories,119.976,3,0.2,-17.9964,2014-11-12,2014,11,-0.15000000000000002,39.992,1%-20%
Second Class,Consumer,United States,Houston,Texas,77070,Central,Office Supplies,Binders,5.18,5,0.8,-8.029,2014-11-12,2014,11,-1.55,1.036,61%-80%
Standard Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Envelopes,15.56,2,0.0,7.3132,2014-11-13,2014,11,0.47,7.78,0%
Standard Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Envelopes,78.35,5,0.0,36.8245,2014-11-13,2014,11,0.47000000000000003,15.669999999999998,0%
Standard Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Art,59.52,3,0.0,15.4752,2014-11-13,2014,11,0.25999999999999995,19.84,0%
Standard Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Paper,38.52,9,0.0,17.334,2014-11-13,2014,11,0.44999999999999996,4.28,0%
Standard Class,Consumer,United States,San Francisco,California,94109,West,Technology,Phones,239.984,2,0.2,23.9984,2014-11-13,2014,11,0.09999999999999999,119.992,1%-20%
Standard Class,Consumer,United States,San Francisco,California,94109,West,Office Supplies,Paper,19.35,3,0.0,9.4815,2014-11-13,2014,11,0.49,6.45,0%
First Class,Consumer,United States,Lansing,Michigan,48911,Central,Furniture,Furnishings,67.0,5,0.0,32.16,2014-11-13,2014,11,0.4799999999999999,13.4,0%
Standard Class,Corporate,United States,Tallahassee,Florida,32303,South,Furniture,Chairs,390.272,8,0.2,-24.392,2014-11-13,2014,11,-0.0625,48.784,1%-20%
Standard Class,Corporate,United States,Tallahassee,Florida,32303,South,Office Supplies,Paper,62.192,13,0.2,19.435,2014-11-13,2014,11,0.3125,4.784,1%-20%
Second Class,Consumer,United States,Columbia,South Carolina,29203,South,Office Supplies,Binders,23.88,6,0.0,11.2236,2014-11-13,2014,11,0.47,3.98,0%
Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Office Supplies,Binders,3.168,2,0.8,-4.752,2014-11-14,2014,11,-1.4999999999999998,1.584,61%-80%
Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Furniture,Chairs,528.43,5,0.3,0.0,2014-11-14,2014,11,0.0,105.68599999999999,21%-40%
Standard Class,Consumer,United States,Chicago,Illinois,60623,Central,Office Supplies,Art,13.392,3,0.2,1.5066,2014-11-14,2014,11,0.1125,4.4639999999999995,1%-20%
